company_name,business_description
"Shift4 Payments, Inc.","Shift4 Payments, Inc. provides software and payment processing solutions solutions in the United States and internationally. The company offers payment platform, an omni-channel card acceptance and processing solutions across multiple payment types, including credit, debit, contactless card, Europay, MasterCard and Visa, QR Pay, and mobile wallets, as well as alternative payment methods. It also provides technology solutions, including SkyTab POS to scale business and improve operational efficiency; VenueNext that provides mobile ordering, countertop POS, self-service kiosk, and digital wallet to facilitate food and beverage, merchandise, and loyalty; Lighthouse, a cloud-based suite of business intelligence tools comprises customer engagement, social media management, online reputation management, scheduling and product pricing, as well as extensive reporting and analytics; SkyTab Mobile which offers pay-at-the-table, order-at-the-table, delivery, customer feedback, and email marketing; The Giving Block, a cryptocurrency donation marketplace; Shift4Shop, an ecommerce platform that creates a webstore and tools to manage product catalog, order fulfillment and inventory management, search-engine-optimization, and secure hosting; and Marketplace that enables integrations into third-party applications, as well as loyalty and inventory management. In addition, the company offers gateway, security, tokenization, risk management/underwriting, payment device management, chargeback management, fraud prevention, and loyalty and gift card. Further, it provides merchant underwriting, onboarding and activation, training, risk management, and support services; and software integrations and compliance management, and partner support and services. The company distributes its products through independent software vendors, internal sales and support network, enterprises, and value-added resellers. The company was founded in 1999 and is headquartered in Center Valley, Pennsylvania."
Sixty Six Capital Inc.,"Sixty Six Capital Inc. operates as investment company in Canada. The company provides computing infrastructure solutions; invests and develops in the financial technology sector. It also invests in technologies, such as AI and crypto. The company was formerly known as Hydro66 Holdings Corp. and changed its name to Sixty Six Capital Inc. in April 2021. Sixty Six Capital Inc. is headquartered in Vancouver, Canada."
Snipp Interactive Inc.,"Snipp Interactive Inc. provides mobile marketing, rebates, and loyalty solutions in the United States, Canada, Ireland, and internationally. The company offers SnippCheck, a receipt processing system that allows brands to execute customized purchase-based promotions and loyalty programs; SnippWin, a promotion and sweepstakes platform provides various promotions from contests and simple sweepstakes to instant win programs and tiered, multi-level games; and SnippLoyalty, an end-to-end real time multichannel SaaS cloud-based customer loyalty program software. It also provides SnippInsights that enables intelligent advertising and marketing decision making; SnippRewards, a rewards platform that offers various rewards, including movie tickets, PayPal, and other money back mechanisms; SnippRebates, a solution that allows brands to set up and manage single-instance or cross-portfolio rebate marketing programs; and Snipp Payments Media Network that allows brands and retailers to reach a bank’s customers with offers and promotions. In addition, the company offers sweepstakes services, including strategy, program build, legal compliance administration, omnichannel activation, rewards, fraud management, and customer support. It serves advertising agencies, brands and related marketing, and promotions agencies. Snipp Interactive Inc. is headquartered in Vancouver, Canada."
"SPAR Group, Inc.","SPAR Group, Inc., together with its subsidiaries, provides merchandising and brand marketing services in the Americas, the Asia-Pacific, Europe, Middle East, and Africa. The company offers merchandising and marketing services, such as resets and cut-ins; price and inventory audits; stock replenishment and rotation services; out of stock management; promotional event setup; and display management, as well as category management and set up services comprising category and product resets; planogram maintenance; display and shelf services; and point of purchase installation and management. It also provides remodel and retail transformation consisting of store remodels, store department resets, fixture and banner installations, pop-up store services, and store closings; and assembly and installation services, including assembly of merchandise in stores, in-store services, office setup/down-sizing services, and national in-home furniture assembly services. In addition, the company offers business analytics and insights services, such as product dashboards, stock out reporting, visit reporting, real-time service insights, and share of shelf analytics; and fulfillment and distribution services comprising distribution center staffing, point of purchase fulfillment services, kiosk prep, returns processing, picking and packing services, and inventory services. The company serves mass merchandisers; HBAs; pharmacies; and grocery, discount, dollar, convenience, cash and carry, home improvement, consumer electronics, automotive aftermarket, office supply, personal technology, beverage, household products, consumables, financial products, and independent stores. SPAR Group, Inc. was founded in 1967 and is headquartered in Auburn Hills, Michigan."
"Specificity, Inc.","Specificity, Inc. operates as a digital marketing agency. The company’s services include location and search, and criteria targeting services; and device ID extraction and programmatic display services. Its services also include email, automated, retargeting, content, digital production, proximity, print, and voice marketing; social media content, website, brochure, radio commercial, brand standards, logo, and blog creation; google and bing display, and google local service ads; google and bing pay per click, targeted print, and text (SMS) campaigns; and search engine optimization and influencer marketing collaborations. The company was incorporated in 2020 and is based in Tampa, Florida."
"Spectrum Group International, Inc.","Spectrum Group International, Inc., together with its subsidiaries, operates as a trading and collectibles network in the United States and Europe. The company operates in two segments, Trading and Collectibles. The Trading segment is engaged in the trade of metals, including gold, silver, platinum, and palladium for storage and delivery in the form of coins, bars, wafers, and grain; and providing financing, consignment, hedging, and various customized financial programs. This segment also offers loans on precious metals and rare coins collateral to coin dealers, collectors, and investors; promotes A-Mark bullion products; and offers storage solutions to institutions, dealers, and consumers. Its customers include sovereign mints and mines, manufacturers and fabricators, refiners, coin and bullion dealers, banks and other financial institutions, commodity brokerage houses, industrial users of precious metals, jewelers, private investors, investment advisors, and collectors. The Collectibles segment offers coins, paper currency, and rare and fine vintage wines. This segment sells its products to collectors and dealers through traditional live auctions, Internet and telephone auctions, and retail sale. The company was founded in 1981 and is headquartered in Irvine, California."
Splitit Payments Ltd,"Splitit Payments Ltd, together with its subsidiaries, provides payment solution services in North America, the United Kingdom, Europe, and Australia. Its solution enables customers to pay for instalments with an existing credit with no applications, redirects or loans. Splitit Payments Ltd was incorporated in 2008 and is headquartered in Atlanta, Georgia."
"Spotlight Homes, Inc.","Winners Internet Network, Inc. provides financial transaction processing services for Internet businesses. The company's flexible processing system is called e-Swipe and it comes in 3 varieties: DIRECT, HOST, and WEB. DIRECT allows vendors to process a credit card automatically from their Web site without the customer leaving the site. HOST gives the vendor the option of not dealing with credit card numbers directly or the requirement for a secure site. When the time comes for the customer to pay, the customer is directed to the company's secure site for processing of the payment and then directed back to the vendor's site once he has paid. WEB provides the ability for the vendors to process credit cards using accounting personnel from their company. Winners also provides a site for vendors to view and process their account, which allows vendors to make withdrawals via check or wire transfer. This e-Swipe system works equally well for casino and general e-commerce applications."
Stagwell Inc.,"Stagwell Inc. provides digital transformation, performance media and data, consumer insights and strategy, and creativity and communications services. The company operates through three segments: Integrated Agencies Network, Brand Performance Network, and Communications Network. It designs and builds digital platforms and experiences that support the delivery of content, commerce, service, and sales; creates websites, mobile applications, back-end systems, content and data management systems, and other digital environments; designs and implements technology and data strategies; and develops software and related technology products, including artificial intelligence (AI)-enabled communications, research, and media technology, cookie-less data platforms for advance targeting and activation, software tools for e-commerce applications, specialty media solutions in the augmented reality space, and text messaging applications for consumer engagement. The company also provides audience analysis, and media buying and planning services; and strategic insights and guidance services that offers business content, product, communications, and media strategies. In addition, it offers strategy development, advertising creation, live events, immersive digital experiences, cross platform engagement, and social media content services; and leadership, investor and financial relations, social media, executive positioning and visibility, strategic communication, public relation, and public affair services. Further, the company provides Stagwell Marketing Cloud, a suite of software-as-a-service (SaaS) and data-as-a-service (DaaS) technology solutions, including research and insights, communications technology, advance media platform, and media studios; and technology-driven solutions for in-house marketers. Stagwell Inc. is headquartered in New York, New York."
"Steel Connect, Inc.","Steel Connect, Inc., together with its subsidiaries, provides supply chain services in the United States, Mainland China, the Netherlands, Singapore, the Czech Republic, and internationally. It offers product configuration and packaging, kitting, and assembly of components and parts into finished goods; and value-added processes, such as product testing, radio frequency identification tagging, product or service activation, language settings, personalization and engraving, multi-channel packaging, and packaging design services. The company provides fulfillment services comprising order management, pick, pack and ship, retail compliance, and demand planning services; and reverse logistics services that simplifies the returns process for retailers and manufacturers, as well as operates a cloud-based e-commerce platform. In addition, it offers warehousing and inventory management services; and software licenses, maintenance, and support services. Further, the company offers its supply chain services to customers in various markets, such as consumer electronics, telecommunications, computing and storage, software and content, consumer packaged goods, health and personal care products, retail and luxury, and connected devices. The company was formerly known as ModusLink Global Solutions, Inc. and changed its name to Steel Connect, Inc. in February 2018. Steel Connect, Inc. was incorporated in 1986 and is headquartered in New York, New York."
"Stem, Inc.","Stem, Inc. operates as a digitally connected, intelligent, and renewable energy storage network provider worldwide. The company offers energy storage hardware sourced from original equipment manufacturers (OEMs); edge hardware to aid in the collection of site data and real-time operation and control of the site and other optional equipment; and Athena, a software platform, which offers battery hardware and software-enabled services to operate the energy storage systems. It serves commercial and industrial enterprises, independent power producers, renewable project developers, and utilities and grid operators. The company was incorporated in 2009 and is headquartered in San Francisco, California."
Stonepath Group Inc.,"Stonepath Group Inc., a third-party logistics company, provides transportation and logistics services worldwide. The company offers various supply chain solutions to a diverse client base, including manufacturers, distributors, and retail chains. Its transportation services include air and ocean freight forwarding, distribution, customs brokerage, consulting services, shipment tracking between pickup and delivery, and other customized management services. Stonepath Group co-ordinates the movement of raw materials, supplies, components, and finished goods for its customers throughout North America and internationally. The company also provides warehousing and distribution services in North America, and offers customs clearance and bonded warehousing services in the international markets. In addition, it provides contract logistics, global project management, order fulfillment, and inventory control services. As of March 31, 2006, the company operated a network of offices in 21 major metropolitan areas in North America, 17 locations in the Asia Pacific region, 3 locations in Brazil, and 1 location in Europe, as well as a network of independent agents and service partners worldwide. The company was formerly known as Net Value Holdings and changed its name to Stonepath Group Inc. in October 2000. The company was incorporated in 1998 and is based in Seattle, Washington. On May 8, 2007, an involuntary petition for bankruptcy protection was filed by Spherion Corporation, Custom Transfer Incorporated, and Overbye Transport Incorporated against Stonepath Group Inc. under Chapter 7 liquidation with the U.S. Bankruptcy Court for the District of Delaware."
"Stran & Company, Inc.","Stran & Company, Inc. provides outsourced marketing solutions. The company offers clients custom sourcing services; and e-commerce solutions for promoting branded merchandise and other promotional products, managing promotional loyalty and incentives, print collateral and event assets, order and inventory management, designing and hosting online retail popup shops, fixed public retail online stores, and online business-to-business service offerings. It also provides creative and merchandising services; warehousing/fulfillment and distribution; print-on-demand services; kitting services; point of sale displays; and loyalty and incentive programs. The company was founded in 1994 and is headquartered in Quincy, Massachusetts."
"STWC Holdings, Inc.","STWC Holdings, Inc. provides fulfillment services to medical and retail stores, and cultivation facilities in the regulated cannabis industry in the United States. Its services include opportunity assessment; application filing assistance; branding, marketing, and administrative consulting; accounting and financial services; compliance services; and providing loans to individuals and businesses. The company was founded in 2012 and is based in Lakewood, Colorado."
"Suncast Solar Energy, Inc.","Suncast Solar Energy, Inc., through its subsidiary, Environmental Testing Laboratories, Inc., provides environmental testing services in the northeast United States. The company’s services include resource conservation recovery act and hazardous waste characterization, toxic characteristic leaching procedure analyses, underground storage tank analytical assessment, landfill/ground water monitoring, and pesticide and herbicide testing in soil and groundwater services. Its services also comprise national pollution discharge elimination system effluent characteristics analysis, PCB (polychlorinated biphenyls) and PCB congener analysis, HUD lead abatement testing, fingerprint categorization, petroleum analyses, client specific deliverables, and electronic data deliverables. The company was formerly known as Paradise Music & Entertainment, Inc. and changed its name to Suncast Solar Energy, Inc. in December 2011. Suncast Solar Energy, Inc. was founded in 1984 and is based in Denver, Colorado."
Sweet Earth Holdings Corporation,"Sweet Earth Holdings Corporation does not have significant operations. Previously, it was engaged in cultivating, processing, and selling hemp cannabidiol (CBD) products The company is based in Vancouver, Canada."
"TaskUs, Inc.","TaskUs, Inc. provides digital outsourcing services for companies in Philippines, the United States, India, and internationally. It offers digital customer experience that consists of omni-channel customer care services primarily delivered through non-voice digital channels; and other solutions, including experience and customer care services for new product or market launches, and customer acquisition solutions. The company also provides trust and safety solutions, such as review and disposition of user and advertiser generated visual, text, and audio content, which include removal or labeling of policy violating, and offensive or misleading content, as well as risk management, compliance, identity management, and fraud services; and artificial intelligence (AI) solutions that consist of data labeling, annotation, context relevance, and transcription services for training and tuning machine learning algorithms that enables to develop AI systems. It serves clients in various industry segments comprising e-commerce, FinTech, food delivery and ride sharing, gaming, technology, HealthTech, social media, and streaming media. The company was formerly known as TU TopCo, Inc. and changed its name to TaskUs, Inc. in December 2020. TaskUs, Inc. was founded in 2008 and is headquartered in New Braunfels, Texas."
"Telpac Industries, Inc.","Telpac Industries, Inc. develops commerce solutions and provides online and mobile applications in the United States. It operates as an e-commerce solution developer and provider in the areas of social networks and online multiplayer video gaming; and offers payment solutions in online applications, mobile devices, and stored value solutions in the business to business, business to consumer, and person to person markets. The company was formerly known as Superior Lube, Inc. and changed its name to Telpac Industries, Inc. in July 1997. Telpac Industries, Inc. was incorporated in 1992 and is based in Beverly Hills, California."
TGI Solar Power Group Inc.,"TGI Solar Power Group Inc. intends to provide clients with management, tools, and resources to deliver interactive, real-time, on demand staffing for full time and project based personnel. The company was formerly known as TenthGate International, Inc. and changed its name to TGI Solar Power Group Inc. in June 2008. TGI Solar Power Group Inc. was founded in 1967 and is based in Ewing, New Jersey."
"The Amacore Group, Inc.","The Amacore Group, Inc. provides and markets healthcare-related membership products for individuals and families. Its products include limited and major medical insurance programs, supplemental medical insurance, and discount dental and vision programs. The company also provides and markets lifestyle membership programs, including insurance discounts, discount benefit savings, ID theft, legal counsel, credit management, automotive warranties, employment protection, and a host of others. The company serves insurance carriers, financial institutions, affiliate marketers, direct marketers, insurance agents, and fortune 500 companies. It distributes its products and services through various distribution methods, such as its agent network, inbound call center, in-house sales representatives, network marketing, and affinity marketing partners, as well as through third-party direct response marketers. The Amacore Group, Inc. was formerly known as Eye Care International Inc. and changed its name to The Amacore Group, Inc. in April 2005. The company was founded in 1993 and is based in Maitland, Florida."
"The GEO Group, Inc.","The GEO Group, Inc. (NYSE: GEO) engages in ownership, leasing, and management of secure facilities, processing centers, and community-based reentry facilities in the United States, Australia, the United Kingdom, and South Africa. The company also provides secure facility management services, including the provision of security, administrative, rehabilitation, education, and food services; reentry services, such as temporary housing, programming, employment assistance, and other services; electronic monitoring and supervision services; and transportation services; as well as designs, constructs, and finances new facilities through projects. The company was founded in 1984 and is based in Boca Raton, Florida."
"The Hackett Group, Inc.","The Hackett Group, Inc. operates as an intellectual property-based executive advisory, strategic consulting, and digital transformation company in the United States, Europe, and internationally. The company operates through three segments: Global Strategy & Business Transformation, Oracle Solutions, and SAP Solutions. It offers Hackett Connect, an online searchable repository; best practice accelerators that provide web-based access to best practices, customized software configuration tools, and best practice process flows; advisor inquiry for access to fact-based advice on proven approaches and methods; best practice research that provides insights into the proven approaches; and peer interaction comprising member-led webcasts, annual best practice conferences, annual member forums, membership performance surveys, and client-submitted content, as well as IP-as-a-service and Hackett Institute programs. The company also provides benchmarking services that conduct studies for selling, general and administrative, finance, human resources, information technology, procurement, enterprise performance management, and shared services; and business transformation practices which help clients develop a coordinated digital transformation strategy. In addition, it offers oracle solutions that help clients to choose and deploy oracle applications that best meet their needs and objectives. Further, the company provides SAP solutions, including planning, architecture, and vendor evaluation and selection through implementation, customization, testing, and integration; post-implementation support, change and exception management, process transparency, system documentation, and end-user training; and off-shore application development, and application maintenance and support services. The company was formerly known as Answerthink, Inc. and changed its name to The Hackett Group, Inc. in 2008. The Hackett Group, Inc. was founded in 1991 and is headquartered in Miami, Florida."
"The Interpublic Group of Companies, Inc.","The Interpublic Group of Companies, Inc. provides advertising and marketing services worldwide. It operates in three segments: Media, Data & Engagement Solutions, Integrated Advertising & Creativity Led Solutions, and Specialized Communications & Experiential Solutions. The Media, Data & Engagement Solutions segment provides media and communications services, digital services and products, advertising and marketing technology, e-commerce services, data management and analytics, strategic consulting, and digital brand experience under the IPG Mediabrands, UM, Initiative, Kinesso, Acxiom, Huge, MRM, and R/GA brand names. The Integrated Advertising & Creativity Led Solutions segment offers advertising, corporate, and brand identity services; and strategic consulting under FCB, IPG Health, McCann Worldgroup, and MullenLowe Group brands. Specialized Communications & Experiential Solutions segment provides public relations and other specialized communications services, live events, sports and entertainment marketing, and strategic consulting under IPG DXTRA Health, The Weber Shandwick Collective, Golin, Jack Morton, Momentum, and Octagon brand names. The company was formerly known as McCann-Erickson Incorporated and changed its name to The Interpublic Group of Companies, Inc. in January 1961. The Interpublic Group of Companies, Inc. was founded in 1902 and is headquartered in New York, New York."
"The Kiley Group, Inc.","The Kiley Group, Inc. provides management consulting services to companies, assisting with going to a public market and raising capital funding. It also engages in buying royalty and licensing rights to oil/gas and software. The company was formerly known as MP2 Technologies, Inc. and changed its name to The Kiley Group, Inc. in October 2009. The Kiley Group, Inc. was founded in 1997 and is based in New York, New York."
The Mint Corporation,"The Mint Corporation, through its subsidiaries, provides vertically integrated prepaid card and payroll services primarily in the Middle East. It manages the issuance, administration, customer support, payment processing, set-up, sponsorship, and regulated reporting of cards and related activities to government authorities. It offers its solutions through a network of ATMs, payment processing platforms, and branded card products. The company was formerly known as Mint Technology Corp. and changed its name to The Mint Corporation in August 2013. The Mint Corporation is headquartered in Toronto, Canada."
"The OLB Group, Inc.","The OLB Group, Inc. provides integrated financial and transaction processing services for small and mid-sized merchants in the United States. It operates through two segments: Fintech Services and Bitcoin Mining Business segments. The company operates CrowdPay, a crowdfunding platform used to facilitate a capital raise of various types of securities; cloud-based business management platform that provides turnkey solutions for merchants to enable them to build and manage their retail businesses; eVance which provides payment processing solutions to merchants, which enable merchants to process credit and debit card-based internet payments for sales of their products; and SecurePay, a payment gateway and virtual terminal with proprietary business management tools. It is also involved in the cryptocurrency mining activities; cryptocurrency-related services; and provision of ecommerce development and consulting services. The OLB Group, Inc. was founded in 1993 and is headquartered in New York, New York."
The RMR Group Inc.,"The RMR Group Inc., through its subsidiary, The RMR Group LLC, provides asset management services in the United States. The company offers management services to its four publicly traded real estate investment trusts, three real estate operating companies, and private capital vehicles. It also provides advisory services to publicly traded mortgage real estate investment trust. The company was formerly known as REIT Management & Research Inc. and changed its name to The RMR Group Inc. in October 2015. The RMR Group Inc. was founded in 1986 and is headquartered in Newton, Massachusetts."
"TLD3 Entertainment Group, Inc.","Ovation Music and Studios, Inc. provides individual and group music lessons, rehearsal studios, professional recording studios, and live performance services. The company is headquartered in Boca Raton, Florida."
"Toast, Inc.","Toast, Inc. operates a cloud-based digital technology platform for the restaurant industry in the United States, Ireland, and India. The company offers software products for restaurant operations and point of sale, such as Toast POS, Toast now, multi-location management, kitchen display system, Toast mobile order and pay, Toast catering and events, Toast invoicing, Toast tables, and restaurant retail; and hardware products, including Toast flex, Toast flex for guest, Toast go 2, Toast tap, kiosks, and Delphi by Toast. It provides toast online ordering and toast takeout, first-party delivery toast delivery services, and third-party delivery integrations and orders hub; and loyalty, email marketing, and toast gift cards. In addition, the company offers payroll and team management, Sling by Toast, Toast pay card and payout, and tips manager, as well as partner-enabled products comprising insurance and benefits; supply chain and accounting products, such as xtraCHEF by toast; and financial technology solutions consisting of payment processing, toast capital, and purchase plans. Further, it offers reporting and analytics, Toast shop, and Toast partner connect and application programming interfaces. The company was formerly known as Opti Systems, Inc. and changed its name to Toast, Inc. in May 2012. Toast, Inc. was incorporated in 2011 and is headquartered in Boston, Massachusetts."
"TriNet Group, Inc.","TriNet Group, Inc. provides comprehensive and flexible human capital management services for small and medium size businesses in the United States. The company offers multi-state payroll processing and tax administration; employee benefits programs, including health insurance and retirement plans; workers compensation insurance and claims management; employment and benefits law compliance; and other HR related services. It also provides technology platform, an online and mobile tool that allows users to store, view, and manager HR information and administer various HR transactions, such as payroll processing, tax administration and credits, employee onboarding and termination, employee performance, time and attendance, compensation reporting, expense management, and benefits enrollment and administration, as well as incorporated workforce analytics and allows professional employer organization clients to generate HR data, payroll, compensation, and other custom reports. The company serves clients in various industries, including technology, professional services, financial services, life sciences, and not-for-profit. It sells its solutions through its direct sales organization. TriNet Group, Inc. was incorporated in 1988 and is headquartered in Dublin, California."
"TSS, Inc.","TSS, Inc. provides integration technology services to implement, operate, and maintain information technology systems to enterprises and users in the United States. The company operates in two segments, Facilities and Systems Integration. It offers a single source solution for enabling technologies in data centers, operations centers, network facilities, server rooms, security operations centers, communications facilities, and the infrastructure systems. The company also provides technology consulting, design and engineering, project management, systems integration, system installation, facilities management, and IT procurement services. It serves IT OEM equipment, technology, and service companies; private sector businesses; and government or commercial end users. The company was formerly known as Fortress International Group, Inc. and changed its name to TSS, Inc. in June 2013. TSS, Inc. was incorporated in 2004 and is headquartered in Round Rock, Texas."
"TTEC Holdings, Inc.","TTEC Holdings, Inc. operates as a customer experience (CX) company that designs, builds, and operates technology-enabled customer experiences across digital and live interaction channels. It operates through two segments, TTEC Digital and TTEC Engage. The TTEC Digital segment provides CX technologies for contact center as a service, customer relationship management, and artificial intelligence (AI) and analytics; creates and implements strategic CX transformation roadmaps; sells, operates, and provides managed services for cloud platforms and premise based CX technologies; creates proprietary IP to support industry specific and custom client needs; and offers CX consulting services. The TTEC Engage segment provides digitally enabled CX operational and managed services; delivers data-driven omnichannel customer care, customer acquisition, growth and retention services, tech support, trust and safety, and back-office solutions; and offers solutions for AI operations, including data annotation and labeling. It serves clients in the healthcare, automotive, government, financial services, communication, technology, travel, logistics, media and entertainment, e-tail/retail, and transportation industries with operations in the United States, Australia, Belgium, Brazil, Bulgaria, Canada, Colombia, Costa Rica, Germany, Greece, India, Ireland, Mexico, the Netherlands, New Zealand, the Philippines, Poland, South Africa, Thailand, and the United Kingdom. The company was formerly known as TeleTech Holdings, Inc. and changed its name to TTEC Holdings, Inc. in January 2018. TTEC Holdings, Inc. was founded in 1982 and is headquartered in Greenwood Village, Colorado."
U C Inc.,"Symmetry Technologies Inc. develops data center, infrastructure, and network solutions. It provides managed information technology (IT) services, including maintenance plans that include planned service for network, reducing possibilities for unplanned outages; and networking services comprising professional implementation services for network projects. The company is based in Coral Gables, Florida."
"UNEEQO, Inc.","Dialogue Key, Inc. operates as a social media community that enables entertainment professionals and private members have a dedicated place to meet, network, work, collaborate with others, and travel in style with like-minded people from entertainment and business life. The company enables the members to connect with the people that are looking for entertainment professionals; learn new skills; travel with people who share same interests; and attend seminars. The company was founded in 2017 and is based in Beverly Hills, California."
"V2X, Inc.","V2X, Inc. provides critical mission solutions and support services to defense clients worldwide. It offers a suite of integrated solutions across the operations and logistics, aerospace, training, and technology markets to national security, defense, civilian, and international clients. The company was incorporated in 2014 and is headquartered in Mclean, Virginia."
"Verisk Analytics, Inc.","Verisk Analytics, Inc. provides data analytics and technology solutions to the insurance markets in the United States and internationally. It offers policy language, prospective loss costs, policy writing and rating rules, and various underwriting solutions for risk selection and segmentation, pricing, and workflow optimization; property- and auto- specific rating and underwriting information solutions that allows clients to understand, quantify, underwrite, mitigate, and avoid potential loss for risks; catastrophe modeling solutions, which enables companies to identify, quantify, and plan for the financial consequences of catastrophes for use by insurers, reinsurers, intermediaries, financial institutions, and governments. The company also provides life insurance solutions for transforming current workflows in life insurance underwriting, claim insights, policy administration, unclaimed property/equity, compliance and fraud detection, and actuarial and portfolio modeling; Marketing Solutions, such as compliant, real-time decisioning, profitability, and risk assessment for inbound consumer interactions; and international underwriting and claims solutions. In addition, it offers claims insurance solutions, which provides analytics in fraud detection, compliance reporting, subrogation liability assessment, litigation, and repair cost estimation and valuation solutions; and casualty solutions, such as compliance, casualty claims decision support, and workflow automation solutions. Further, the company supplies software to the specialty insurance market. The company was founded in 1971 and is headquartered in Jersey City, New Jersey."
Verra Mobility Corporation,"Verra Mobility Corporation provides smart mobility technology solutions and services in the United States, Australia, Canada, and Europe. It operates through three segments: Commercial Services, Government Solutions, and Parking Solutions. The Commercial Services segment provides automated toll and violations management, and title and registration services to rental car companies, fleet management companies, and other large fleet owners. The Government Solutions segment offers automated safety solutions to national, state, and local government agencies, including services and technologies that enable photo enforcement through road safety cameras to detect and process traffic violations for red-light, speed, school bus, and city bus lanes. This segment serves municipalities, counties, school districts, and law enforcement agencies. The Parking Solutions segment provides an integrated suite of parking software and hardware solutions to universities, municipalities, parking operators, healthcare facilities, and transportation hubs. Verra Mobility Corporation was incorporated in 2016 and is headquartered in Mesa, Arizona."
Viad Corp,"Viad Corp provides hospitality, leisure activities, experiential marketing, and live events in the United States, Canada, Europe, the Middle East, and Africa. It operates in three segments: Pursuit, Spiro, and GES Exhibitions. The Pursuit segment offers recreational attractions, hotels and lodges, food and beverage, retail, sightseeing, and ground transportation services. This segment consists of Banff Jasper Collection, the Alaska Collection, the Glacier Park Collection, FlyOver, and Sky Lagoon. The Spiro segment operates as an experiential marketing agency that partners with brands around the world to manage and elevate their global experiential marketing activities. The GES Exhibition segment engages as an exhibition services company that partners with exhibition and conference organizers as a full-service provider of strategic and logistics solutions to manage the complexity of their shows. It serves event organizers and corporate brand marketers; and tour operators, tour wholesalers, destination management companies, and retail travel agencies. Viad Corp was founded in 1926 and is headquartered in Scottsdale, Arizona."
"Videolocity International, Inc.","Videolocity International, Inc., through its subsidiaries, operates as a Chinese management education and consulting firm in the People’s Republic of China. The company provides consulting, educational, and training curricula focusing on government management training, administrative party cadres training, women cadres training, councilors training, and training of Communist Party members and community neighborhood committee cadres. It also offers business management training, financial management training, training of execution, human resources training, and secretarial staff training; and college student, career guidance, on-the-job, ethics, foreign language, pre-masters degree course, and doctorate preparatory course training. In addition, the company involves in various business activities, including economic zoning, such as regional economic development planning, urban planning, land planning, and plans for the development of industries; and supplying services and planning for conferences by undertaking trade and investment promotion, product exhibitions, and various other forums. Videolocity International, Inc. was incorporated in 1985 and is based in Henderson, Nevada."
Vivic Corp.,"Vivic Corp. engages in the distribution of yachts under the Monte Fino and VIVIC brands in Taiwan and internationally. It also provides tourism consultancy and yacht services. The company was incorporated in 2017 and is headquartered in Las Vegas, Nevada."
WEX Inc.,"WEX Inc. operates a commerce platform in the United States and internationally. The Mobility segment offers fleet vehicle payment solutions, transaction processing, and information management services; and provides account activation and account retention services; authorization and billing inquiries, and account maintenance services; account management; credit and collections services; merchant services; analytics solutions; and ancillary services and offerings. This segment markets its products directly and indirectly to businesses and government agencies with fleets of commercial vehicles; and indirectly through co-branded and private label relationships. The Corporate Payments segment provides payment solutions, including embedded payments; and accounts payable automation and spend management solutions. This segment also markets its products directly and indirectly to customers in travel, fintech, insurance, consumer bill pay, and media verticals. The Benefits Solutions segment offers software-as-a-service (SaaS) platform for consumer directed healthcare benefits and full-service benefit enrollment solutions. In addition, its SaaS platform includes embedded payment solutions and plan administration services for consumer-directed health benefits; COBRA accounts; and benefit enrollment and administration services. Further, it offers custodial and depository services for health savings accounts; and markets its products through third-party administrators, financial institutions, payroll providers, and health plans. The company was formerly known as Wright Express Corporation and changed its name to WEX Inc. in October 2012. WEX Inc. was founded in 1983 and is based in Portland, Maine."
Xcyte Digital Corp.,"Xcyte Digital Corp. develops and supports virtual, hybrid, and event platforms worldwide. It operates through Conferencing, Lead Sales, Subscriptions, Webinars, Webcasting, and Other segments. The company provides physical, virtual, and hybrid events solutions; immersive and metaverse solutions, including 3-D world configuration, content management, digital asset creation, marketplace development, marketing, promotion, 3D commerce, extended reality, and community development; and event production services, such as custom staging, sound and lighting to video projection, recording systems, digital signage, and interactive technologies, as well as detailed CADs, floor plans, and renderings; program registration, on-site staffing, pre-event communication, email campaigns, and post-show surveys; and trade shows and exhibits, sponsorships, promotional partnerships, co-branded marketing opportunities and on-site exhibitor services. It also offers digital marketing services, including digital strategy, content development, copy writing, paid media and social campaign management, experiential marketing, influencer marketing, email marketing, video marketing, and design and creative services, as well as lead generation services. The company provides its services under the Onstream Media and Infinite Conferencing brand names. Xcyte Digital Corp. was founded in 2022 and is headquartered in Toronto, Canada."
"XR Energy, Inc.","XR Energy, Inc. offers energy consulting services to smaller sized middle market companies in the New York metropolitan area. The company was incorporated in 2009 and is based in Irving, Texas."
XTM Inc.,"XTM Inc., a fintech innovator, provides disseminating earned wages and gratuities access to service workers in the hospitality and personal care space. It offers Today Solution, a bespoke solution that consists of free mobile app and a visa or Mastercard debit card for restaurateurs and personal care services operators and their staff. In addition, it provides visa direct and Mastercard send, pre-authorized, direct deposit, and digital banking products. The company was formerly known as Extreme Corp Makeover Inc. and changed its name to XTM Inc. in October 2006. The company was incorporated in 2005 and is headquartered in Toronto, Canada."
Yijia Group Corp.,"Yijia Group Corp. offers business consulting services in the United States and internationally. It offers anti-aging products, as well as provides professional health consultation services. The company was formerly known as Soldino Group Corp. and changed its name to Yijia Group Corp. in November 2018. Yijia Group Corp. was incorporated in 2017 and is based in New York, New York."
